Time,Constraint,Lambda,Sim
0,0___l,0.0,run_4_toynet
1000,0___l,0.0,run_4_toynet
2000,0___l,0.0,run_4_toynet
3000,0___l,0.0,run_4_toynet
4000,0___l,0.0,run_4_toynet
5000,0___l,0.0,run_4_toynet
6000,0___l,0.0,run_4_toynet
7000,0___l,0.0,run_4_toynet
8000,0___l,0.0,run_4_toynet
9000,0___l,0.0,run_4_toynet
10000,0___l,0.0,run_4_toynet
11000,0___l,0.0,run_4_toynet
12000,0___l,0.0,run_4_toynet
13000,0___l,0.0,run_4_toynet
14000,0___l,0.0,run_4_toynet
15000,0___l,0.0,run_4_toynet
16000,0___l,0.0,run_4_toynet
17000,0___l,0.0,run_4_toynet
18000,0___l,0.0,run_4_toynet
19000,0___l,0.0,run_4_toynet
20000,0___l,0.0,run_4_toynet
21000,0___l,0.0,run_4_toynet
22000,0___l,0.0,run_4_toynet
23000,0___l,0.0,run_4_toynet
24000,0___l,0.0,run_4_toynet
25000,0___l,0.0,run_4_toynet
26000,0___l,0.0,run_4_toynet
27000,0___l,0.0,run_4_toynet
28000,0___l,0.0,run_4_toynet
29000,0___l,0.0,run_4_toynet
30000,0___l,0.0,run_4_toynet
31000,0___l,0.0,run_4_toynet
32000,0___l,0.0,run_4_toynet
33000,0___l,0.0,run_4_toynet
34000,0___l,0.0,run_4_toynet
35000,0___l,0.0,run_4_toynet
36000,0___l,0.0,run_4_toynet
37000,0___l,0.0,run_4_toynet
38000,0___l,0.0,run_4_toynet
39000,0___l,0.0,run_4_toynet
40000,0___l,0.0,run_4_toynet
41000,0___l,0.0,run_4_toynet
42000,0___l,0.0,run_4_toynet
43000,0___l,0.0,run_4_toynet
44000,0___l,0.0,run_4_toynet
45000,0___l,0.0,run_4_toynet
46000,0___l,0.0,run_4_toynet
47000,0___l,0.0,run_4_toynet
48000,0___l,0.0,run_4_toynet
49000,0___l,0.0,run_4_toynet
50000,0___l,0.0,run_4_toynet
51000,0___l,0.0,run_4_toynet
52000,0___l,0.0,run_4_toynet
53000,0___l,0.0,run_4_toynet
54000,0___l,0.0,run_4_toynet
55000,0___l,0.0,run_4_toynet
56000,0___l,0.0,run_4_toynet
57000,0___l,0.0,run_4_toynet
58000,0___l,0.0,run_4_toynet
59000,0___l,0.0,run_4_toynet
60000,0___l,0.0,run_4_toynet
61000,0___l,0.0,run_4_toynet
62000,0___l,0.0,run_4_toynet
63000,0___l,0.0,run_4_toynet
64000,0___l,0.0,run_4_toynet
65000,0___l,0.0,run_4_toynet
66000,0___l,0.0,run_4_toynet
67000,0___l,0.0,run_4_toynet
68000,0___l,0.0,run_4_toynet
69000,0___l,0.0,run_4_toynet
70000,0___l,0.0,run_4_toynet
71000,0___l,0.0,run_4_toynet
72000,0___l,0.0,run_4_toynet
73000,0___l,0.0,run_4_toynet
74000,0___l,0.0,run_4_toynet
75000,0___l,0.0,run_4_toynet
76000,0___l,0.0,run_4_toynet
77000,0___l,0.0,run_4_toynet
78000,0___l,0.0,run_4_toynet
79000,0___l,0.0,run_4_toynet
80000,0___l,0.0,run_4_toynet
81000,0___l,0.0,run_4_toynet
82000,0___l,0.0,run_4_toynet
83000,0___l,0.0,run_4_toynet
84000,0___l,0.0,run_4_toynet
85000,0___l,0.0,run_4_toynet
86000,0___l,0.0,run_4_toynet
87000,0___l,0.0,run_4_toynet
88000,0___l,0.0,run_4_toynet
89000,0___l,0.0,run_4_toynet
90000,0___l,0.0,run_4_toynet
91000,0___l,0.0,run_4_toynet
92000,0___l,0.0,run_4_toynet
93000,0___l,0.0,run_4_toynet
94000,0___l,0.0,run_4_toynet
95000,0___l,0.0,run_4_toynet
96000,0___l,0.0,run_4_toynet
97000,0___l,0.0,run_4_toynet
98000,0___l,0.0,run_4_toynet
99000,0___l,0.0,run_4_toynet
100000,0___l,0.0,run_4_toynet
101000,0___l,0.0,run_4_toynet
102000,0___l,0.0,run_4_toynet
103000,0___l,0.0,run_4_toynet
104000,0___l,0.0,run_4_toynet
105000,0___l,0.0,run_4_toynet
106000,0___l,0.0,run_4_toynet
107000,0___l,0.0,run_4_toynet
108000,0___l,0.0,run_4_toynet
109000,0___l,0.0,run_4_toynet
110000,0___l,0.0,run_4_toynet
111000,0___l,0.0,run_4_toynet
112000,0___l,0.0,run_4_toynet
113000,0___l,0.0,run_4_toynet
114000,0___l,0.0,run_4_toynet
115000,0___l,0.0,run_4_toynet
116000,0___l,0.0,run_4_toynet
117000,0___l,0.0,run_4_toynet
118000,0___l,0.0,run_4_toynet
119000,0___l,0.0,run_4_toynet
120000,0___l,0.0,run_4_toynet
121000,0___l,0.0,run_4_toynet
122000,0___l,0.0,run_4_toynet
123000,0___l,0.0,run_4_toynet
124000,0___l,0.0,run_4_toynet
125000,0___l,0.0,run_4_toynet
126000,0___l,0.0,run_4_toynet
127000,0___l,0.0,run_4_toynet
128000,0___l,0.0,run_4_toynet
129000,0___l,0.0,run_4_toynet
130000,0___l,0.0,run_4_toynet
131000,0___l,0.0,run_4_toynet
132000,0___l,0.0,run_4_toynet
133000,0___l,0.0,run_4_toynet
134000,0___l,0.0,run_4_toynet
135000,0___l,0.0,run_4_toynet
136000,0___l,0.0,run_4_toynet
137000,0___l,0.0,run_4_toynet
138000,0___l,0.0,run_4_toynet
139000,0___l,0.0,run_4_toynet
140000,0___l,0.0,run_4_toynet
141000,0___l,0.0,run_4_toynet
142000,0___l,0.0,run_4_toynet
143000,0___l,0.0,run_4_toynet
144000,0___l,0.0,run_4_toynet
145000,0___l,0.0,run_4_toynet
146000,0___l,0.0,run_4_toynet
147000,0___l,0.0,run_4_toynet
148000,0___l,0.0,run_4_toynet
149000,0___l,0.0,run_4_toynet
150000,0___l,0.0,run_4_toynet
151000,0___l,0.0,run_4_toynet
152000,0___l,0.0,run_4_toynet
153000,0___l,0.0,run_4_toynet
154000,0___l,0.0,run_4_toynet
155000,0___l,0.0,run_4_toynet
156000,0___l,0.0,run_4_toynet
157000,0___l,0.0,run_4_toynet
158000,0___l,0.0,run_4_toynet
159000,0___l,0.0,run_4_toynet
160000,0___l,0.0,run_4_toynet
161000,0___l,0.0,run_4_toynet
162000,0___l,0.0,run_4_toynet
163000,0___l,0.0,run_4_toynet
164000,0___l,0.0,run_4_toynet
165000,0___l,0.0,run_4_toynet
166000,0___l,0.0,run_4_toynet
167000,0___l,0.0,run_4_toynet
168000,0___l,0.0,run_4_toynet
169000,0___l,0.0,run_4_toynet
170000,0___l,0.0,run_4_toynet
171000,0___l,0.0,run_4_toynet
172000,0___l,0.0,run_4_toynet
173000,0___l,0.0,run_4_toynet
174000,0___l,0.0,run_4_toynet
175000,0___l,0.0,run_4_toynet
176000,0___l,0.0,run_4_toynet
177000,0___l,0.0,run_4_toynet
178000,0___l,0.0,run_4_toynet
179000,0___l,0.0,run_4_toynet
180000,0___l,0.0,run_4_toynet
181000,0___l,0.0,run_4_toynet
182000,0___l,0.0,run_4_toynet
183000,0___l,0.0,run_4_toynet
184000,0___l,0.0,run_4_toynet
185000,0___l,0.0,run_4_toynet
186000,0___l,0.0,run_4_toynet
187000,0___l,0.0,run_4_toynet
188000,0___l,0.0,run_4_toynet
189000,0___l,0.0,run_4_toynet
190000,0___l,0.0,run_4_toynet
191000,0___l,0.0,run_4_toynet
192000,0___l,0.0,run_4_toynet
193000,0___l,0.0,run_4_toynet
194000,0___l,0.0,run_4_toynet
195000,0___l,0.0,run_4_toynet
196000,0___l,0.0,run_4_toynet
197000,0___l,0.0,run_4_toynet
198000,0___l,0.0,run_4_toynet
199000,0___l,0.0,run_4_toynet
200000,0___l,0.0,run_4_toynet
201000,0___l,0.0,run_4_toynet
202000,0___l,0.0,run_4_toynet
203000,0___l,0.0,run_4_toynet
204000,0___l,0.0,run_4_toynet
205000,0___l,0.0,run_4_toynet
206000,0___l,0.0,run_4_toynet
207000,0___l,0.0,run_4_toynet
208000,0___l,0.0,run_4_toynet
209000,0___l,0.0,run_4_toynet
210000,0___l,0.0,run_4_toynet
211000,0___l,0.0,run_4_toynet
212000,0___l,0.0,run_4_toynet
213000,0___l,0.0,run_4_toynet
